Benchmark	Description	ActualAvgRounds	MinScore	TIME_TO_SEC(timediff(TimeEnd, TimeStart))
ak-driver	Rim, de1220	111	0.04350112135064821	45
ak-driver	Rim, pso_gen	1999	10.974879205737011	310
rb-driver	Ageing Extended Barabasi-Albert, de+sade	649	0.004641141460131558	150
rb-driver	Fully Connected, ihs	1999	117.55223066285579	448
ak-driver	Bidirectional ring, de+sade	151.9	0.04312851152814945	51
ak-driver	Bidirectional ring, xnes	1999	15.223935490923854	461
sw-driver	One-way ring, sade	228.5	0.00018190910941484617	58
sw-driver	Barabasi-Albert, sade	231.2	0.00014505409490084276	60
gr-driver	Bidirectional chain, de+sade	300.9	0.00012066026393720009	85
gr-driver	Bidirectional chain, nsga2	1999	137.25714199227298	288
ak-driver	Bidirectional chain, sade	139.8	0.0406700975170442	39
sw-driver	Bidirectional ring, de+nsga2	355	0.0001748968006722862	87
ra-driver	1-2 Ring, de+pso	204.2	0.2911178361109137	52
sw-driver	Broadcast, pso_gen	1999	2558.486820420205	467
gr-driver	1-2 Ring, de+nelder mead	0	0.00000007169231475145921	13
gr-driver	Watts-Strogatz, de	1999	0.02457329408636344	340
sw-driver	One-way ring, ihs	1999	23.364997228388347	421
sw-driver	Bidirectional ring, de	324	0.000198136182007147	81
sw-driver	Extended Barabasi-Albert, de+nsga2	290.5	0.00018250438006361946	70
rb-driver	One-way ring, cmaes	1999	80684.0006587498	423
sw-driver	Bidirectional chain, cmaes	1999	-413015.8981229323	435
sw-driver	Fully Connected, bee_colony	90.5	0.00013470552403305192	37
sw-driver	Hypercube, cmaes	1999	-542126.646143963	825
ra-driver	Barabasi-Albert, de+nsga2	168.9	0.30952524622935584	46
rb-driver	Watts-Strogatz, de+de1220	647	0.011261743454228963	190
rb-driver	Watts-Strogatz, de+praxis	678.8	0.001081535471265097	197
rb-driver	Watts-Strogatz, cmaes	1999	91543.63419170071	474
gr-driver	Rim, pso_gen	1999	29.183422772993048	315
gr-driver	Barabasi-Albert, de+nelder mead	1999	0.007396040334114895	339
sw-driver	Bidirectional chain, ihs	1999	66.09572771275998	406
gr-driver	Extended Barabasi-Albert, de+pso	1999	0.01722629385971286	393
gr-driver	Ageing Extended Barabasi-Albert, cmaes	1999	112.13461457131667	502
ra-driver	Extended Barabasi-Albert, de+sade	182.4	0.3076515549379337	49
rb-driver	Barabasi-Albert, de+pso	667	0.0031818878816249688	150
gr-driver	Rim, ihs	1999	1.3766520492345267	426
ra-driver	One-way ring, de	177.3	0.2949860758676266	48
rb-driver	Bidirectional chain, bee_colony	1999	0.9509971173705583	429
sw-driver	1-2-3 Ring, sade	221.5	0.00018230960358778248	57
ak-driver	1-2-3 Ring, nsga2	1999	15.650790411286437	315
sw-driver	Extended Barabasi-Albert, de+de1220	287.6	0.00019016612714040093	176
ak-driver	One-way ring, xnes	1999	16.53520332782994	544
ak-driver	Fully Connected, bee_colony	76.4	0.04470630669180453	29
gr-driver	1-2-3 Ring, xnes	1999	132.01527730434026	439
gr-driver	Ageing Extended Barabasi-Albert, de+praxis	1999	0.007396040334114895	352
ra-driver	Watts-Strogatz, de+de1220	159.3	0.2939663225364768	42
rb-driver	Watts-Strogatz, sade	836.3	0.001368518430743532	213
rb-driver	Watts-Strogatz, pso	1999	6231.296130955204	317
sw-driver	Watts-Strogatz, pso_gen	1999	3009.355879031758	320
sw-driver	Rim, ihs	1999	49.04956707384008	438
ak-driver	One-way ring, de+nelder mead	64.5	0.00000013167869328256643	22
ak-driver	Watts-Strogatz, de+pso	178.5	0.04328717878882005	48
gr-driver	Hypercube, pso	1999	29.090222201126856	599
ra-driver	1-2 Ring, ihs	1999	4.380203204095437	423
ak-driver	Broadcast, nsga2	1999	17.194201594766128	299
ak-driver	Bidirectional chain, de+sade	180.8	0.04206346304243924	45
sw-driver	1-2-3 Ring, de	296	0.0001881077341749915	90
sw-driver	1-2 Ring, de+nsga2	321.2	0.00019858519408444408	94
gr-driver	Hypercube, de+pso	1999	0.007396040334114895	609
ak-driver	Bidirectional ring, cmaes	1999	16.280398978055256	437
rb-driver	Fully Connected, bee_colony	1999	0.027379192996256473	444
ak-driver	Bidirectional ring, sade	129.2	0.045218624685326336	36
gr-driver	Bidirectional chain, de1220	252.9	0.00008203917631011137	63
ra-driver	One-way ring, pso	1999	75.22525042159921	305
gr-driver	Broadcast, de+pso	493.6	0.00008106802582730221	127
gr-driver	Fully Connected, cmaes	1999	103.47275600476198	576
gr-driver	Fully Connected, ihs	1999	1.1856084742891624	575
ra-driver	1-2 Ring, de+praxis	146.8	0.0000000000003410605131648481	42
rb-driver	Hypercube, sade	686.8125	0.0026561398526090017	271
rb-driver	Broadcast, xnes	1999	92460.17504244296	385
sw-driver	Ageing Extended Barabasi-Albert, sade	226	0.00016853724173415685	59
ak-driver	Bidirectional chain, pso_gen	1999	11.188663664753538	310
sw-driver	Ageing Extended Barabasi-Albert, bee_colony	95.5	0.00018747431931842584	25
ra-driver	Barabasi-Albert, bee_colony	46.1	0.21657909119315377	21
rb-driver	1-2-3 Ring, de1220	468.6	0.011539941629199128	107
ak-driver	Bidirectional chain, cmaes	1999	15.260892081546821	435
ak-driver	Fully Connected, nsga2	1999	16.806302893957707	319
sw-driver	1-2-3 Ring, de+sade	241.5	0.00019448443345027044	61
ak-driver	Watts-Strogatz, de+nelder mead	194.6	0.0351319120388216	53
gr-driver	1-2 Ring, pso_gen	1999	32.23980468215632	326
ra-driver	Rim, de+sade	134.9	0.3072979788250052	43
rb-driver	Broadcast, de1220	684.2	0.002558569880666471	112
ak-driver	Watts-Strogatz, de+praxis	189.1	0.044544149910578756	60
ak-driver	Hypercube, de+sade	150.3125	0.043332925877291206	72
sw-driver	Barabasi-Albert, de+de1220	301.9	0.00017104346170526696	91
sw-driver	Barabasi-Albert, de+praxis	304.6	0.0001940400552484789	91
rb-driver	Fully Connected, de+praxis	39.3	0.0003575885801409145	20
rb-driver	Extended Barabasi-Albert, de	633.9	0.008679618040794692	145
gr-driver	Barabasi-Albert, pso_gen	1999	39.09033976681933	311
ak-driver	Bidirectional chain, bee_colony	74.5	0.04004116506344646	26
gr-driver	Bidirectional ring, nsga2	1999	118.41112795648559	383
gr-driver	Bidirectional ring, xnes	1999	119.76792103419146	561
gr-driver	Bidirectional ring, cmaes	1999	138.68862906351652	562
sw-driver	Bidirectional ring, pso_gen	1999	3080.5721645483345	312
gr-driver	Bidirectional ring, de+nsga2	358.7	0.00008537740942371475	87
ra-driver	1-2-3 Ring, sade	129.8	0.31295836708616775	39
rb-driver	Broadcast, de	946.3	0.010769926300050893	154
gr-driver	Bidirectional chain, pso	1999	31.96018916282248	328
ra-driver	One-way ring, nsga2	1999	157.45387144219117	274
ra-driver	Barabasi-Albert, de+praxis	171.9	0.29150876856047603	47
rb-driver	Barabasi-Albert, de+nsga2	603.5	0.0028873335903301456	137
gr-driver	1-2 Ring, de1220	1999	0.007396040334114895	319
sw-driver	Barabasi-Albert, nsga2	1999	3797.2718748125417	282
ra-driver	Bidirectional ring, de+de1220	175.9	0.3049296316081893	51
rb-driver	Fully Connected, pso_gen	1999	5262.2312032535165	318
sw-driver	Extended Barabasi-Albert, de+nelder mead	315.4	0.00018675758838071488	73
sw-driver	Rim, de	299.8	0.00018648274908628082	73
ak-driver	Barabasi-Albert, de1220	124.4	0.043460795364833604	37
rb-driver	One-way ring, ihs	1999	104.40875847088611	432
gr-driver	Rim, de+nsga2	1999	0.01722629385971286	367
gr-driver	Bidirectional chain, bee_colony	163.4	0.000054428721735666485	46
gr-driver	Barabasi-Albert, nsga2	1999	145.19679671950212	297
sw-driver	1-2 Ring, pso	1999	2803.425204549488	309
ra-driver	Bidirectional ring, xnes	1999	146.16626021743096	437
gr-driver	Watts-Strogatz, nsga2	1999	150.7848238534	288
sw-driver	Barabasi-Albert, cmaes	1999	-485789.55106630153	439
rb-driver	One-way ring, sade	955.6	0.0009818558577763983	233
rb-driver	One-way ring, pso	1999	3443.41559740742	311
rb-driver	Extended Barabasi-Albert, de1220	485.1	0.014235383915934187	112
ra-driver	Bidirectional chain, de+nelder mead	137.4	0.0000000000003694822225952521	47
ra-driver	Bidirectional chain, de+nsga2	212.9	0.30241705380518624	62
rb-driver	Broadcast, de+sade	1035.8	0.002343097069246673	174
gr-driver	Broadcast, de+sade	726.4	0.00007522737890730546	119
rb-driver	Fully Connected, de	493	0.022092228763356377	176
rb-driver	Fully Connected, de+nsga2	636	0.012547239174491916	212
rb-driver	Hypercube, pso_gen	1999	1289.6455374913376	642
rb-driver	Watts-Strogatz, de+nsga2	638.7	0.0070577731050585	146
rb-driver	Bidirectional chain, de+sade	607.7	0.01122439170328755	139
ra-driver	Ageing Extended Barabasi-Albert, cmaes	1999	121.87766476089317	444
sw-driver	Bidirectional ring, nsga2	1999	3899.7895719263065	283
sw-driver	Extended Barabasi-Albert, pso	1999	3053.868231612659	316
ra-driver	Rim, pso	1999	74.4432540877443	321
gr-driver	Watts-Strogatz, de1220	228.9	0.00010463870695254229	59
ra-driver	Extended Barabasi-Albert, de	172.9	0.30031534150433004	48
rb-driver	Ageing Extended Barabasi-Albert, de+pso	667.7	0.004965370289235834	153
gr-driver	Barabasi-Albert, de	1999	0.01969735601034117	338
sw-driver	1-2 Ring, de1220	212	0.0001787724986570538	56
ak-driver	Watts-Strogatz, ihs	1999	2.6024286316111156	431
sw-driver	Watts-Strogatz, cmaes	1999	-450230.6199059414	431
ra-driver	Barabasi-Albert, pso	1999	91.41625994690074	289
ra-driver	Rim, de+praxis	169.7	0.0000000000003979039320256561	43
rb-driver	Broadcast, pso	1999	4520.128080070258	297
sw-driver	Bidirectional chain, de+nsga2	323.4	0.00019998970947199268	82
sw-driver	Broadcast, xnes	1999	-431686.9555585148	350
ak-driver	Bidirectional ring, de+nsga2	206.8	0.04202370802393007	53
gr-driver	Hypercube, de+nsga2	267.3125	0.00013271424696315037	126
gr-driver	Hypercube, ihs	1999	1.0437353009613037	864
